question,n,strongly_disagree,disagree,neutral,agree,strongly_agree,agree_or_strongly_agree_pct,mean_score_1_to_5
"The employers were approachable, knowledgeable, and open to answering questions",17,0,0,2,7,8,0.8823529411764706,4.352941176470588
I was satisfied with the Career Fair layout.,18,0,1,2,10,5,0.8333333333333334,4.055555555555555
I had the opportunity to meet with enough employers,18,0,1,2,10,5,0.8333333333333334,4.055555555555555
The career fair was a valuable use of my time,18,0,0,3,8,7,0.8333333333333334,4.222222222222222
The employers effectively communicated their company opportunities.,18,0,0,3,7,8,0.8333333333333334,4.277777777777778
I was able to have meaningful interactions with employers that helped me better understand their processes and types of candidates they are looking for,17,1,0,2,7,7,0.8235294117647058,4.117647058823529
There was adequate promotion of this Career Fair,18,0,2,2,9,5,0.7777777777777778,3.9444444444444446
I plan to apply to at least one of the positions that I learned about at the career fair.,18,0,2,4,8,4,0.6666666666666666,3.7777777777777777
There was enough time for me to connect with the all the employers I had hoped to,18,0,4,2,9,3,0.6666666666666666,3.611111111111111
The career fair was on a good day and time for me and my friends,18,1,4,2,8,3,0.6111111111111112,3.4444444444444446
There was a good balance of employers from different industries,18,0,3,5,6,4,0.5555555555555556,3.611111111111111
I was well-prepared for my interactions with the employers,18,1,1,8,4,4,0.4444444444444444,3.5
